"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,11,Burgviertel,101,Oekolampad,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,11,Burgviertel,102,Wasgenring-Ost,0,0,0,0,0,0,0,0,2,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,11,Burgviertel,103,Wasgenring-West,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,11,Burgviertel,111,Pestalozzi,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,11,Burgviertel,112,Kannenfeld,0,2,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,11,Burgviertel,113,Landskron,0,0,1,0,1,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,11,Burgviertel,114,Lysbüchel,0,0,1,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,11,Burgviertel,115,Friedmatt,0,0,1,0,0,0,1,1,0,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,2,1,4,4,1,1,4,2,2,11,Burgviertel,121,Theodor,0,0,0,0,0,0,1,1,0,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,2,1,4,4,1,1,4,2,2,11,Burgviertel,122,Klingental,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,13,13 - Clara,1,1,5,3,0,1,3,2,6,11,Burgviertel,131,Clarahof,0,0,1,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,13,13 - Clara,1,1,5,3,0,1,3,2,6,11,Burgviertel,132,Claramatte,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,14,14 - Wettstein,5,2,3,3,1,1,4,5,1,11,Burgviertel,141,Rosengarten,0,0,0,2,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,14,14 - Wettstein,5,2,3,3,1,1,4,5,1,11,Burgviertel,142,Solitude,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,0,4,0,1,0,1,0,0,2,11,Burgviertel,151,Eglisee,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,0,4,0,1,0,1,0,0,2,11,Burgviertel,152,Kleinriehen-Nord,0,0,0,0,0,0,0,0,1,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,0,4,0,1,0,1,0,0,2,11,Burgviertel,153,Kleinriehen-Süd,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,16,16 - Rosental,4,7,4,3,3,4,2,2,5,11,Burgviertel,160,Rosental,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,16,16 - Rosental,4,7,4,3,3,4,2,2,5,11,Burgviertel,161,Messe,0,0,0,0,0,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,16,16 - Rosental,4,7,4,3,3,4,2,2,5,11,Burgviertel,162,Erlenmatt,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,11,Burgviertel,171,Flora,0,0,0,0,0,1,2,0,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,11,Burgviertel,172,Dreirosen,0,0,0,0,0,0,0,0,1,1,1
