"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,10,Iselin,0,2,1,2,0,0,1,1,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,18,Klybeck,0,0,0,1,0,0,0,1,0,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,17,Matthäus,0,1,0,2,1,4,1,0,2,3,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,16,Rosental,1,1,1,1,1,0,1,0,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,5,St. Alban,0,0,0,0,0,0,0,0,0,1,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,11,St. Johann,0,0,1,1,0,0,0,0,0,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,2,Vorstädte,0,1,0,0,0,1,0,0,1,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AI,AI,14,Wettstein,0,0,0,2,0,1,0,1,0,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,1,Altstadt Grossbasel,0,1,0,0,0,0,0,1,0,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,12,Altstadt Kleinbasel,0,0,1,2,0,1,0,1,1,2,0,1,1
