"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,10,10 - Iselin,12,18,18,14,31,17,18,13,16,11,Burgviertel,101,Oekolampad,1,1,1,0,1,4,0,0,1,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,12,18,18,14,31,17,18,13,16,11,Burgviertel,102,Wasgenring-Ost,0,3,0,0,0,0,0,1,2,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,12,18,18,14,31,17,18,13,16,11,Burgviertel,103,Wasgenring-West,0,0,1,0,1,2,1,0,2,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,14,22,19,19,27,28,21,16,22,11,Burgviertel,111,Pestalozzi,0,0,0,0,0,1,0,0,1,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,14,22,19,19,27,28,21,16,22,11,Burgviertel,112,Kannenfeld,0,2,0,0,0,0,2,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,14,22,19,19,27,28,21,16,22,11,Burgviertel,113,Landskron,2,1,4,4,2,3,2,3,1,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,14,22,19,19,27,28,21,16,22,11,Burgviertel,114,Lysbüchel,0,0,1,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,14,22,19,19,27,28,21,16,22,11,Burgviertel,115,Friedmatt,4,1,1,1,0,0,2,2,2,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,5,12,8,11,5,7,13,8,8,11,Burgviertel,121,Theodor,1,3,2,3,3,1,4,2,2,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,5,12,8,11,5,7,13,8,8,11,Burgviertel,122,Klingental,0,0,0,0,0,1,0,0,1,1,1
1,1 - Altstadt Grossbasel,13,13 - Clara,5,3,7,4,3,3,6,6,9,11,Burgviertel,131,Clarahof,0,0,2,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,13,13 - Clara,5,3,7,4,3,3,6,6,9,11,Burgviertel,132,Claramatte,3,2,1,2,2,1,1,4,1,1,1
1,1 - Altstadt Grossbasel,14,14 - Wettstein,10,5,6,9,5,6,10,11,3,11,Burgviertel,141,Rosengarten,3,0,0,3,0,1,1,3,0,1,1
1,1 - Altstadt Grossbasel,14,14 - Wettstein,10,5,6,9,5,6,10,11,3,11,Burgviertel,142,Solitude,0,1,0,0,1,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,3,5,3,5,1,5,1,1,3,11,Burgviertel,151,Eglisee,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,3,5,3,5,1,5,1,1,3,11,Burgviertel,152,Kleinriehen-Nord,1,0,0,0,0,0,0,0,1,1,1
