"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,8,26,20,29,9,23,24,20,11,11,Burgviertel,11,Burgviertel,0,0,1,3,0,1,1,3,1,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,8,26,20,29,9,23,24,20,11,11,Burgviertel,12,Geschäftsviertel,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,8,26,20,29,9,23,24,20,11,11,Burgviertel,13,Leonhard,0,0,0,6,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,8,26,20,29,9,23,24,20,11,11,Burgviertel,14,Peter,1,0,0,1,1,2,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,9,16,7,8,14,7,13,10,6,11,Burgviertel,21,St. Johann und Uni,1,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,9,16,7,8,14,7,13,10,6,11,Burgviertel,22,Spalen,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,9,16,7,8,14,7,13,10,6,11,Burgviertel,23,Steinen,0,0,1,0,0,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,9,16,7,8,14,7,13,10,6,11,Burgviertel,24,Aeschen,0,0,0,0,1,1,2,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,9,16,7,8,14,7,13,10,6,11,Burgviertel,25,Alban,0,3,1,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,9,16,7,8,14,7,13,10,6,11,Burgviertel,26,Albantal,1,0,0,0,1,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,19,18,16,20,8,14,37,10,24,11,Burgviertel,31,St. Johann,3,0,1,4,0,0,4,0,1,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,19,18,16,20,8,14,37,10,24,11,Burgviertel,32,Spalen,1,1,2,1,0,4,3,1,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,19,18,16,20,8,14,37,10,24,11,Burgviertel,33,Steinen,1,4,1,0,3,1,2,0,1,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,19,18,16,20,8,14,37,10,24,11,Burgviertel,34,Markthalle,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,4,4 - Breite,5,4,2,7,1,2,8,6,3,11,Burgviertel,41,Züricherstrasse,0,1,0,1,0,1,3,0,1,1,1
1,1 - Altstadt Grossbasel,4,4 - Breite,5,4,2,7,1,2,8,6,3,11,Burgviertel,42,Lehenmatte,0,0,0,1,0,0,0,0,2,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,11,10,13,20,5,7,6,7,6,11,Burgviertel,51,Heumatt,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,11,10,13,20,5,7,6,7,6,11,Burgviertel,52,Peter Merian,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,11,10,13,20,5,7,6,7,6,11,Burgviertel,53,Luftmatt,0,3,0,4,0,1,1,1,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,11,10,13,20,5,7,6,7,6,11,Burgviertel,54,Gellert,0,0,1,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,11,10,13,20,5,7,6,7,6,11,Burgviertel,55,St. Jakob-Dreispitz,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,18,13,16,14,16,18,12,17,14,11,Burgviertel,61,Margarethen,1,1,0,1,4,3,0,1,0,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,18,13,16,14,16,18,12,17,14,11,Burgviertel,62,Thierstein,0,1,3,1,2,4,1,5,4,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,18,13,16,14,16,18,12,17,14,11,Burgviertel,63,Delsbergerallee,3,1,0,0,1,2,4,4,1,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,1,8,5,6,3,7,2,5,3,11,Burgviertel,71,Thiersteinerrain,0,4,2,5,2,1,0,3,1,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,1,8,5,6,3,7,2,5,3,11,Burgviertel,72,Batterie-Nord,1,0,0,0,0,1,0,1,0,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,1,8,5,6,3,7,2,5,3,11,Burgviertel,73,Batterie-Süd,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,15,8,11,9,6,13,10,7,12,11,Burgviertel,81,Paulus,1,1,0,0,0,1,0,0,2,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,15,8,11,9,6,13,10,7,12,11,Burgviertel,82,Bernerring,0,0,0,0,0,2,0,0,1,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,15,8,11,9,6,13,10,7,12,11,Burgviertel,83,Holee,1,0,0,0,1,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,15,8,11,9,6,13,10,7,12,11,Burgviertel,84,Schützenmatte,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,15,8,11,9,6,13,10,7,12,11,Burgviertel,85,Weiherhof,0,1,0,0,0,0,1,0,2,1,1
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,9,4,3,13,5,7,9,5,6,11,Burgviertel,91,Blauen,2,0,0,0,1,0,1,2,0,1,1
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,9,4,3,13,5,7,9,5,6,11,Burgviertel,92,Gottfried Keller,2,1,0,1,0,1,0,0,1,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,5,10,10,9,18,13,12,7,6,11,Burgviertel,101,Oekolampad,1,1,1,0,1,4,0,0,1,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,5,10,10,9,18,13,12,7,6,11,Burgviertel,102,Wasgenring-Ost,0,3,0,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,5,10,10,9,18,13,12,7,6,11,Burgviertel,103,Wasgenring-West,0,0,1,0,1,2,1,0,2,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,9,8,10,13,18,19,8,6,14,11,Burgviertel,111,Pestalozzi,0,0,0,0,0,1,0,0,1,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,9,8,10,13,18,19,8,6,14,11,Burgviertel,112,Kannenfeld,0,0,0,0,0,0,2,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,9,8,10,13,18,19,8,6,14,11,Burgviertel,113,Landskron,2,1,3,4,1,2,2,3,1,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,9,8,10,13,18,19,8,6,14,11,Burgviertel,114,Lysbüchel,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,9,8,10,13,18,19,8,6,14,11,Burgviertel,115,Friedmatt,4,1,0,1,0,0,1,1,2,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,3,11,4,7,4,6,9,6,6,11,Burgviertel,121,Theodor,1,3,2,3,3,1,3,1,2,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,3,11,4,7,4,6,9,6,6,11,Burgviertel,122,Klingental,0,0,0,0,0,1,0,0,1,1,1
1,1 - Altstadt Grossbasel,13,13 - Clara,4,2,2,1,3,2,3,4,3,11,Burgviertel,131,Clarahof,0,0,1,0,0,0,0,0,0,1,1
